Node A,Node Z,Distance
Charlotte,Miami,1365.4
Atlanta,Houston,1467
Atlanta,Charlotte,457
StLouis,Indianapolis,487.3
Seattle,Sacramento,1374
WashingtonDC,Charlotte,730
Baltimore,Philadelphia,166.2
Baltimore,WashingtonDC,71.5
Denver,SaltLakeCity,850
Sacramento,SanFrancisco,180
Cleveland,Boston,1190
SanJose,LosAngeles,626.4
Chicago,Cleveland,720.6
Chicago,Indianapolis,357.1
Denver,ElPaso,1160.8
Boston,NewYork,398.1
NewOrleans,Houston,686.1
Parkersburg,WashingtonDC,414.9
KansasCity,Dallas,1060
Dallas,Houston,464.6
Indianapolis,Parkersburg,680
SaltLakeCity,LasVegas,772.8
SaltLakeCity,Sacramento,1110
KansasCity,Denver,1156.5
ElPaso,Phoenix,720
ElPaso,SanAntonio,978.8
Seattle,SaltLakeCity,1463.4
Houston,SanAntonio,380
LosAngeles,Phoenix,766.5
KansasCity,StLouis,489.8
LasVegas,Phoenix,526.4
Miami,Tampa,430
NewOrleans,Tallahassee,702.6
NewYork,Philadelphia,164.5
SanFrancisco,SanJose,69
Tampa,Tallahassee,426
